"","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP"
"1",1,100654,3.31705517213332,-0.703556692821761,-0.048056270901358,-0.0662149656119833,-0.793411055529151,-0.243200298600026,0.692687754725626,0.900709532119943,-0.1749539231825,-0.739103567878977,-0.101645120760637,-1.74316849389431
"2",2,100663,0.311777214083773,-0.601130094347035,1.03414375761396,-0.12344150066208,0.792299616890119,0.622142978834996,0.576892212398033,-0.823633267973928,0.470100901092382,0.337826850827852,0.553593878965421,0.592863028115134
"3",3,100690,1.02026270337962,-0.697267340283839,0.111914316911704,-0.357159872218951,NA,-3.61410337874413,-0.337855097704411,0.655070349868377,0.497550042550888,-0.88688940634459,-0.866356977758,NA
"4",4,100706,-0.286786217513538,-0.556655387114589,1.11925495104483,0.371698087828187,0.617119989330368,0.31955395329363,0.833216325511541,-0.995359398989437,0.868113452240714,-0.0203557173429655,-0.32258851518046,0.180757977864416
"5",5,100724,3.25252602894997,-0.67390688800013,-0.491589656081481,-0.601933369865046,-0.759906755176194,-0.687883494919263,0.573144783843742,0.896726194029377,-0.428858481673676,-1.06528885722658,-0.493989448645386,-1.74316849389431
"6",6,100751,-0.347310103533787,-0.571929528992399,1.17469116516403,0.656660220316282,-0.865684617719103,0.817394681126892,1.13769489554769,-1.452115500041,0.621071179114163,0.89745020191993,0.871224979442382,0.689059351703071
"7",7,100760,0.317562585541591,-0.7084983269587,-0.514122801798023,-1.14662593529642,NA,NA,-0.898845152281781,0.252753202721219,-0.367097913392039,NA,NA,NA
"8",8,100812,-0.311262789065845,-0.642460125310521,0.909583522183379,NA,NA,NA,0.271102042367884,-0.545684787876661,0.422064903539997,NA,NA,NA
"9",9,100830,0.657119387258133,-0.695021142948867,0.672567245173859,-0.300063397475787,0.528094276963938,-0.281535056903408,-0.337855097704411,-0.499655103274566,0.147573488954941,-1.14324792519189,-0.933079485656934,-1.74316849389431
"10",10,100858,-0.531996961610281,-0.61685347569184,1.15888728270713,0.377940982560925,0.686043121485024,1.01264638341879,1.16111632401201,-1.64243054214581,0.881838022969966,1.05438963513938,0.882411986754778,0.74177493702926
"11",11,100937,-0.354875589286318,-0.640663167442544,NA,0.388866048343216,-0.753684527967787,0.664566778024073,1.91060203487022,-1.50522667458187,0.77890374250057,0.749031788157755,0.065760452949862,-0.300223640075265
"12",12,101028,1.10036784664172,-0.507239045745204,-0.734529189692245,-1.87587407626436,NA,NA,-1.08734080856262,0.463870121521213,-0.463169908496809,NA,NA,NA
"13",13,101073,3.05226317079474,-0.560698542317538,NA,-0.443389855714892,-0.758949489451823,-0.936803858835894,-0.337855097704411,1.48094911397905,-0.888631601103645,-1.19249621794056,-0.565506388249633,-1.74316849389431
"14",14,101116,1.84890590756862,-0.659531225056309,-0.0253316286029371,0.950726574289619,NA,-1.05845282518529,-0.337855097704411,0.674544447200033,-0.277888203651896,-1.90281495290229,-1.53238344882101,NA
"15",15,101143,0.238347499426854,-0.499601974806298,NA,-1.55761650520166,NA,NA,-1.03600103736883,-0.18851213908925,-0.566104188966205,NA,NA,NA
"16",16,101161,0.160022470459473,-0.584508234068242,0.224846546477747,-1.17875083110863,NA,NA,-1.08734080856262,-0.263752969688829,-0.284750489016522,NA,NA,NA
"17",17,101189,1.44081470550562,-0.612361081021896,NA,0.585517232424457,NA,-0.533011071373598,0.786373468582903,0.2173457530273,0.298543766976722,-1.04182936494224,-0.798435861932738,-0.460679107819942
"18",18,101240,0.0785822414763449,-0.591246826073158,NA,-1.48088092411176,NA,NA,NA,0.182823489575729,-0.490619049955314,NA,NA,NA
"19",19,101277,-0.690427133839755,-0.415594194478344,NA,-0.747470853321996,NA,NA,-1.08734080856262,1.28488036129897,NA,NA,NA,NA
"20",20,101286,0.596595501237884,-0.628982941300689,NA,-1.64176552378669,NA,NA,NA,0.0796992923421886,-0.428858481673676,NA,NA,NA
"21",21,101295,-0.572939590388684,-0.565640176454477,0.191523902832934,-1.03022196059225,NA,NA,-0.61891223927624,-0.130532440215457,-0.277888203651896,NA,NA,NA
"22",22,101301,2.46972076784984,-0.716584637364599,NA,-1.10955874782079,NA,NA,NA,1.02861894413923,-0.59355333042471,NA,NA,NA
