"","UNITID","C150_4_WHITE","C150_4_ASIAN","C150_4_BLACK","C150_4_HISP","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","COMPL_RPY_3YR_RT","COMPL_RPY_5YR_RT","COMPL_RPY_7YR_RT","ADM_RATE","RET_FT4","NPT4_PRIV","NPT4_PUB","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","MD_EARN_WNE_P6","MD_EARN_WNE_P8"
"1",100654,0.1429,NA,0.3581,0,0.0333,0.9353,0.0019,0.0055,"0.6030640669","0.6903485255","0.7740524781",0.5256,0.6595,NA,15229,"15000",0.7356,"30300","22000","26600"
"2",100663,0.5506,0.7143,0.5221,0.6071,0.5922,0.26,0.0518,0.0283,"0.8648785425","0.8909405655","0.9139026112",0.8569,0.8288,NA,14789,"14382",0.346,"39700","33300","36900"
"3",100690,NA,NA,0.1667,NA,0.299,0.4192,0.0034,0.0069,"0.6857142857","0.72","PrivacySuppressed",NA,0,12992,NA,"9500",0.6801,"40100","35200","36400"
"4",100706,0.4792,0.65,0.3028,0.5,0.6988,0.1255,0.0376,0.0382,"0.9046673287","0.9067164179","0.9266055046",0.8203,0.7696,NA,18596,"15750",0.3072,"45500","35900","40900"
"5",100724,0.4444,0,0.2599,0,0.0158,0.9208,0.0019,0.0121,"0.4444444444","0.608137045","0.6995153473",0.5326,0.5725,NA,11110,"14362",0.7347,"26600","20300","23000"
"6",100751,0.6652,0.5909,0.6016,0.6321,0.7825,0.1119,0.0106,0.0348,"0.9113300493","0.9169918411","0.9247034554",0.5105,0.867,NA,20787,"17375",0.204,"41900","33200","38300"
"7",100760,NA,NA,NA,NA,0.7255,0.2613,0.0025,0.0044,"0.5806451613","0.603960396","0.6111111111",NA,NA,NA,6922,"6506",0.5892,"27500","23800","24200"
"8",100812,NA,NA,NA,NA,0.7823,0.12,0.0053,0.0191,"0.835117773","0.8678526048","0.8691437803",NA,NA,NA,NA,"12750",0.4088,"39000","33600","35800"
"9",100830,0.2623,0.3333,0.15,0,0.5328,0.3376,0.0221,0.0074,"0.8211829436","0.8239202658","0.8664323374",0.8017,0.652,NA,13431,"9500",0.4192,"35000","28300","31200"
"10",100858,0.7203,0.6622,0.6044,0.6458,0.8507,0.0704,0.0227,0.0248,"PrivacySuppressed","0.9140625","0.9544282029",0.8347,0.9052,NA,18644,"17500",0.161,"45700","36400","41400"
"11",100937,0.6685,0.7273,0.4,0.375,0.7983,0.1102,0.0517,0.0195,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.5339,0.8371,18728,NA,"21500",0.192,"44200","26600","36700"
"12",101028,NA,NA,NA,NA,0.4661,0.4372,0.0127,0.0492,"0.5535714286","0.5631067961","0.65",NA,NA,NA,1315,"5500",0.6369,"26100","21000","24500"
"13",101073,0,NA,0.242,0,0.028,0.8758,0.0093,0.0373,"0.4347826087","PrivacySuppressed",NA,0.5328,0.5238,12329,NA,"9500",0.8667,"19900","19300","19100"
"14",101116,0.2353,NA,0,NA,0.3046,0.6054,0.0153,0.0153,"0.6391375102","0.6945606695","0.7522255193",NA,0.5,23048,NA,"9500",0.6845,"28800","31300","31200"
"15",101143,NA,NA,NA,NA,0.6408,0.2435,0.0202,0.0509,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,NA,3762,"5774",0.4895,"24600","24700","28100"
"16",101161,NA,NA,NA,NA,0.6979,0.2259,0.0084,0.032,"0.7614213198","0.7409326425","0.8083333333",NA,NA,NA,6675,"5500",0.4725,"28700","23700","25900"
"17",101189,0.3464,0,0.1837,0.3333,0.3874,0.5137,0.0042,0.0258,"0.738372093","PrivacySuppressed","PrivacySuppressed",NA,0.6028,20240,NA,"15500",0.5812,"37200","29100","33600"
"18",101240,NA,NA,NA,NA,0.6921,0.2076,0.0047,0.0305,NA,NA,NA,NA,NA,NA,4352,"PrivacySuppressed",0.5734,"25700","20000","23400"
"19",101277,NA,NA,NA,NA,0.8957,0.0348,0,0.0696,NA,NA,NA,NA,NA,9991,NA,"5500",0.8224,NA,NA,NA
"20",101286,NA,NA,NA,NA,0.6273,0.324,0.0072,0.0221,NA,NA,"PrivacySuppressed",NA,NA,NA,3115,"PrivacySuppressed",0.5501,"26600","20700","22400"
"21",101295,NA,NA,NA,NA,0.863,0.0612,0.0065,0.0362,"0.7738515901","0.7347560976","0.7483221477",NA,NA,NA,7817,"8000",0.5026,"28800","25500","28500"
"22",101301,NA,NA,NA,NA,0.1956,0.7449,0.004,0.0026,NA,NA,NA,NA,NA,NA,7207,"PrivacySuppressed",0.7645,"24200","20100","21100"
"23",101365,0.4,NA,0.3846,1,0.3543,0.5265,0.0066,0.0166,"0.6854599407","0.7536","0.8244897959",1,0,22103,NA,"10628",0.6541,"42300","28600","34100"
"24",101435,0.4592,NA,0.4286,0.25,0.6388,0.1993,0.0078,0.0252,"0.8771331058","0.8341463415","PrivacySuppressed",0.5839,0.705,19040,NA,"16701.5",0.3982,"36500","29900","34700"
"25",101453,0.5,NA,NA,NA,0.7419,0.1129,0,0.0484,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1,0.5714,10369,NA,"9875",0.6087,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"26",101462,NA,NA,NA,NA,0.3337,0.5965,0.0082,0.0246,NA,NA,NA,NA,NA,NA,10048,"PrivacySuppressed",0.5763,"22300","18300","20900"
"27",101480,0.3478,0.375,0.2199,0.2143,0.6834,0.2382,0.0055,0.0132,"0.8151693667","0.8438697318","PrivacySuppressed",0.8326,0.718,NA,17974,"15871",0.4428,"34600","26000","31300"
"28",101499,NA,NA,NA,NA,0.5857,0.2982,0.0252,0.0077,NA,NA,NA,NA,NA,NA,3888,"PrivacySuppressed",0.5765,"25400","22700","21800"
"29",101505,NA,NA,NA,NA,0.6696,0.2246,0.0183,0.0486,"0.7961956522","0.8074074074","0.8266666667",NA,NA,NA,9207,"4500",0.3372,"29400","26600","27000"
"30",101514,NA,NA,NA,NA,0.6528,0.194,0.0257,0.0435,"0.7407407407","0.7671232877","0.8043478261",NA,NA,NA,5686,"5500",0.3933,"27400","23700","25400"
"31",101541,0.4737,NA,0.3,0.25,0.7553,0.1622,0.0106,0.016,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.6525,0.5606,11592,NA,"16797.5",0.4784,"29300","21200","24000"
"32",101569,NA,NA,NA,NA,0.1511,0.7384,0.0055,0.0093,NA,NA,NA,NA,NA,NA,7387,"PrivacySuppressed",0.7153,"23800","19600","20500"
"33",101587,0.3896,0,0.2759,0.3333,0.4421,0.4055,0.0016,0.0224,"0.7100840336","0.7455621302","0.8317307692",0.7199,0.6451,NA,13092,"12500",0.5323,"33900","26500","33100"
"34",101602,NA,NA,NA,NA,0.692,0.2728,0.0057,0.0122,NA,NA,NA,NA,NA,NA,7748,"PrivacySuppressed",0.5892,"25200","20600","24400"
"35",101648,NA,NA,NA,NA,0.5727,0.2263,0.0346,0.1016,"0.7882352941","0.7222222222","0.6904761905",0.6139,NA,NA,10679,"5500",0.378,"44500","31200","38900"
"36",101675,0,NA,0.2143,0,0.0169,0.9719,0,0.0028,"0.5039370079","PrivacySuppressed","0.5",NA,0.5236,16694,NA,"12250",0.8452,"25700","19900","21700"
"37",101693,0.4335,0.25,0.2174,0,0.6479,0.211,0.0048,0.0158,"0.8047337278","0.7723342939","0.858778626",0.5847,0.7713,19017,NA,"21950",0.4909,"35000","29600","31500"
"38",101709,0.4346,0.4,0.5714,0.5833,0.7266,0.1384,0.0064,0.031,"0.8560311284","0.8834951456","0.9107551487",0.743,0.7881,NA,16877,"15110",0.3972,"34900","26700","29900"
"39",101736,NA,NA,NA,NA,0.7912,0.125,0.0036,0.0339,"0.738372093","0.7232142857","0.7222222222",NA,NA,NA,6513,"4750",0.5278,"25200","20400","23500"
"40",101879,0.4789,0.5,0.2143,0.4545,0.7123,0.1384,0.0047,0.0272,"0.8785249458","0.8748387097","0.8988764045",0.6788,0.723,NA,11294,"12638",0.4051,"36100","27200","33000"
"41",101897,NA,NA,NA,NA,0.867,0.0225,0.0054,0.0665,"0.7276995305","0.8","0.7307692308",NA,NA,NA,3049,"3500",0.5893,"28300","21500","25200"
"42",101912,NA,NA,0.4363,0,0.0059,0.8514,0.0016,0.0234,"0.6732026144","0.6333333333","0.8098591549",0.4787,0.7637,24992,NA,"23500",0.5062,"33900","22300","25400"
"43",101949,NA,NA,NA,NA,0.5441,0.4203,0.0042,0.0059,NA,NA,NA,NA,NA,NA,4703,"PrivacySuppressed",0.5841,"22400","18900","22000"
"44",101958,NA,NA,NA,NA,0.7976,0.131,0,0.0714,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,21801,NA,"15834",0.7857,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"45",101994,NA,NA,NA,NA,0.5106,0.4588,0.0024,0.0071,NA,NA,NA,NA,NA,NA,3799,"PrivacySuppressed",0.5493,"20100","20100","20900"
"46",102030,NA,NA,NA,NA,0.2504,0.671,0.0157,0.0191,"PrivacySuppressed",NA,NA,NA,NA,NA,4805,"PrivacySuppressed",0.6327,"21800","18400","19400"
"47",102049,0.6721,0.6667,0.5306,0.5714,0.8183,0.0656,0.0092,0.06,"PrivacySuppressed","0.9616368286","0.9705159705",0.5954,0.8795,26733,NA,"17250",0.1391,"45800","36300","41600"
"48",102058,0,NA,0.221,0,0.0106,0.9703,0,0,"PrivacySuppressed","PrivacySuppressed",NA,NA,0.3474,9459,NA,"5050",0.8247,NA,NA,NA
"49",102067,NA,NA,NA,NA,0.5613,0.3466,0.0084,0.0036,NA,"PrivacySuppressed","PrivacySuppressed",NA,NA,NA,8924,"PrivacySuppressed",0.4852,"24700","20100","22700"
"50",102076,NA,NA,NA,NA,0.7827,0.0648,0.0076,0.0825,NA,NA,NA,NA,NA,NA,4743,"3500",0.5865,"26500","21300","25800"
"51",102094,0.4038,0.4815,0.2917,0.4048,0.6149,0.2374,0.0345,0.0276,"0.8523316062","0.8586102719","0.8780313837",0.8335,0.7107,NA,14327,"13000",0.3906,"37300","30200","33200"
"52",102234,0.6325,0.75,0.4138,0.7,0.6733,0.1556,0.0107,0.0626,"0.9137931034","0.9433962264","0.9304812834",0.5177,0.7262,19713,NA,"20500",0.2307,"42800","34600","37600"
"53",102261,0.25,NA,0,NA,0.6176,0.3118,0.0059,0.0176,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1,0.8182,13536,NA,"20000",0.6398,"30300","29500","29400"
"54",102270,0.2,NA,0.2051,0,0.0748,0.9034,0.0019,0.017,"0.4929577465","0.4896551724","0.6987951807",0.5901,0.6687,17002,NA,"15575",0.8436,"25700","19800","23300"
"55",102298,0,NA,0.4976,0.087,0.0647,0.8742,0.0024,0.044,"0.4159292035","0.3666666667","0.6086956522",NA,0.4492,12629,NA,"15625",0.5747,"25100","17900","17600"
"56",102313,NA,NA,NA,NA,0.3951,0.5756,0.013,0.0106,NA,NA,NA,NA,NA,NA,6157,"PrivacySuppressed",0.5337,"23100","18800","21800"
"57",102368,0.4271,0.375,0.2434,0.4828,0.5132,0.3386,0.0078,0.0329,"0.7608809649","0.8128872367","0.8372434018",0.4414,0.7514,NA,11907,"14500",0.4537,"35600","29300","33600"
"58",102377,0,NA,0.4812,1,0.0035,0.7736,0.0015,0.0035,"0.7906976744","0.8502994012","0.8870523416",0.4922,0.7178,29242,NA,"21500",0.63,"36800","25800","30700"
"59",102395,NA,NA,NA,NA,0.4333,0.1222,0.0222,0.0667,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,NA,NA,"10225",0.4,"PrivacySuppressed","38500","PrivacySuppressed"
"60",102429,NA,NA,NA,NA,0.8009,0.1573,0.0034,0.014,NA,NA,NA,NA,NA,NA,7848,"PrivacySuppressed",0.5639,"25900","22100","24900"
"61",102553,0.3015,0.2756,0.1087,0.2206,0.5747,0.0358,0.0778,0.0761,"0.8991750687","0.906741573","0.9312354312",NA,0.7164,NA,8661,"10261",0.2385,"42500","35300","39800"
"62",102580,NA,NA,NA,NA,0.8519,0,0,0.037,"PrivacySuppressed",NA,NA,NA,0.3333,11621,NA,"PrivacySuppressed",0.3571,NA,NA,NA
"63",102614,0.3914,0.2778,0.2667,0.3125,0.4259,0.021,0.0126,0.0522,"0.8666666667","0.8963585434","0.9129287599",NA,0.7756,NA,9188,"10283",0.2263,"36200","30600","34200"
"64",102632,0.2208,0.0769,NA,0.1667,0.4748,0.0119,0.0357,0.0623,"0.8888888889","PrivacySuppressed","0.8990825688",NA,0.7167,NA,8971,"9804",0.1769,"37400","29600","33000"
"65",102669,0.6863,0,0,0,0.5309,0.0291,0.0255,0.0364,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.4207,0.7742,25616,NA,"18750",0.3152,"47000","36800","38200"
"66",102711,NA,NA,NA,NA,0.5388,0.0112,0.0157,0.0427,"0.8301886792","0.8021978022","0.6666666667",NA,NA,NA,NA,"5500",0.0737,"33500","26500","35400"
"67",102845,0.4912,0.3056,0.2642,0.5806,0.4373,0.0599,0.0123,0.3093,"0.598944591","0.6673306773","0.8010752688",NA,NA,27226,NA,"10047",0.8307,"39200","31000","35100"
"68",103501,NA,NA,NA,NA,0.38,0.096,0.1983,0.1002,"0.6484848485","0.6234413965","0.6544502618",NA,NA,16474,NA,"7832.5",0.7078,"28700","26600","28000"
"69",103644,0.3062,0.4231,0.2067,0.457,0.3162,0.4405,0.0017,0.0763,"0.4256157635","0.4053651267","0.5267558528",NA,1,21742,NA,"9481.5",0.8291,"28600","22500","26900"
"70",103723,0.5128,0.4286,0.4,0.383,0.3253,0.0843,0,0.1566,"0.4818532819","0.5762910798","0.6875",NA,NA,NA,NA,"35160",0.7205,"25700","21200","23300"
"71",103732,NA,NA,NA,NA,0.76,0.04,0,0.12,"0.5603532875","0.5335648148","0.637254902",NA,NA,12407,NA,"7752",0.6349,"17800","PrivacySuppressed","21700"
"72",103741,NA,NA,NA,NA,0.2143,0.0873,0.0159,0.5794,"0.453038674","0.5247933884","0.6106870229",NA,NA,12834,NA,"7899",0.7962,"18200","17600","19000"
"73",103778,NA,NA,NA,NA,0,0,0,1,"PrivacySuppressed",NA,NA,NA,NA,NA,NA,"PrivacySuppressed",0,"118900","99600","109100"
"74",103787,0.5,NA,NA,NA,0.0449,0.0562,0.0225,0.1461,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,0.4286,16269,NA,"10000",0.75,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"75",103811,NA,NA,NA,NA,0.4737,0.2481,0.0226,0.1729,"0.5847789591","0.4922048998","0.4778254649",NA,NA,15727,NA,"6030",0.4276,"30800","27400","29600"
"76",103893,NA,NA,NA,NA,0.2674,0.0616,0.0113,0.5754,"0.5499807766","0.5147751606","0.5828437133",0.9904,NA,19454,NA,"9500",0.7287,"25100","23300","23300"
"77",103909,NA,NA,NA,NA,0.3677,0.0543,0.0195,0.3886,"0.5499807766","0.5147751606","0.5828437133",1,NA,19490,NA,"9500",0.7123,"25100","23300","23300"
"78",103927,NA,NA,NA,NA,0.2759,0.0542,0.0071,0.5943,"0.5499807766","0.5147751606","0.5828437133",1,NA,19295,NA,"9500",0.7434,"25100","23300","23300"
"79",103945,0.475,NA,0.3333,0.7,0.1989,0.0114,0,0.125,"0.2195121951","0.2635658915","0.3756906077",NA,0.5,24472,NA,"16633",0.8732,"24000","17200","21000"
"80",103954,NA,NA,NA,NA,0.4688,0.0625,0,0.3438,"0.4507042254","PrivacySuppressed","PrivacySuppressed",NA,NA,17778,NA,"5500",0.6552,"16300","PrivacySuppressed","15900"
"81",103963,NA,NA,NA,NA,0.3774,0.0812,0.0048,0.3328,"0.206483439","0.2677878396","0.4470046083",NA,NA,29392,NA,"9500",0.7919,"33500","21200","30400"
"82",104090,0.4277,0.6667,0.3175,0.5718,0.3478,0.199,0.0214,0.3088,"0.3171620864","0.2923529412","0.3950807071",NA,0.4228,29295,NA,"9500",0.687,"22200","17900","19000"
"83",104151,0.6394,0.7317,0.4916,0.6079,0.5457,0.0394,0.0686,0.188,"0.8929141248","0.8954594725","0.9189109204",0.8433,0.8609,NA,10858,"15034.5",0.3192,"45100","36100","41100"
"84",104160,NA,NA,NA,NA,0.1793,0.0292,0.01,0.6952,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,NA,8978,"4250",0.5581,"27000","20800","24200"
"85",104179,0.6194,0.6997,0.4523,0.5421,0.5323,0.0355,0.0555,0.2535,"0.9285546967","0.9311148087","0.9572327044",0.7462,0.8189,NA,15215,"13279",0.3349,"44000","33300","39100"
"86",104188,1,NA,0,1,0.4534,0.0435,0.0062,0.3168,"0.5277777778","0.7424242424","0.7976190476",NA,0.7692,41525,NA,"35500",0.4469,"27200","22000","25900"
"87",104346,NA,NA,NA,NA,0.461,0.072,0.0199,0.2709,"0.7011494253","0.6875","0.7108433735",NA,NA,NA,5211,"5500",0.4708,"27500","23900","24100"
"88",104364,0.3488,0,0.2727,0.32,0.3552,0.1211,0.018,0.4354,"0.4847396768","0.6222826087","0.7690217391",NA,1,19765,NA,"12004.5",0.8567,"27400","27700","27200"
"89",104391,NA,NA,NA,NA,0.7593,0.0185,0,0.2037,"0.5507246377","0.5352112676","0.5425531915",NA,NA,10147,NA,"6500",0.7405,"14500","14900","13500"
"90",104425,NA,NA,NA,NA,0.4185,0.0492,0.013,0.457,"0.8095238095","0.6710526316","0.7391304348",NA,NA,NA,5572,"3952",0.336,"28600","21600","25300"
"91",104434,NA,NA,NA,NA,0.5167,0.0333,0,0.1333,"0.737704918","0.6201550388","0.6594202899",NA,NA,13252,NA,"7775",0.7381,"17800","16000","17500"
"92",104443,NA,NA,NA,NA,0.268,0.2165,0.0206,0.3918,"0.737704918","0.6201550388","0.6594202899",NA,NA,12266,NA,"7775",0.7714,"17800","16000","17500"
"93",104504,NA,NA,NA,NA,0.4923,0.0231,0.0154,0.3923,"0.7467248908","0.75","0.7936507937",NA,NA,19592,NA,"6333",0.629,"20000","21600","21600"
"94",104568,NA,NA,NA,NA,0.5056,0.0972,0.0111,0.3028,"0.6036585366","0.6091954023","0.7337662338",NA,NA,12008,NA,"9555",0.6218,"19600","16300","16100"
"95",104577,NA,NA,NA,NA,0.585,0.0457,0.0108,0.2098,NA,NA,NA,NA,NA,NA,6611,"PrivacySuppressed",0.1859,"28700","22400","25400"
"96",104586,0.5938,0.75,0,0.413,0.5753,0.0167,0.0553,0.0558,"0.9385863268","0.9394833948","0.952020202",0.8016,0.8217,30002,NA,"13000",0.2501,"61500","44400","54800"
"97",104665,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed",NA,NA,NA,NA,NA,"PrivacySuppressed",NA,NA,NA,NA
"98",104708,NA,NA,NA,NA,0.4431,0.0712,0.043,0.3424,"PrivacySuppressed","PrivacySuppressed","0.8358208955",NA,NA,NA,7600,"3500",0.3824,"33600","27400","30800"
"99",104717,0.4545,NA,0.1818,0.1429,0.479,0.1867,0.0443,0.1652,"0.7802197802","0.8529411765","0.9304029304",0.5757,0.6236,28039,NA,"11806",0.5055,"44500","35500","47100"
"100",104911,NA,NA,NA,NA,0.2713,0.25,0.016,0.367,"0.5782608696","0.7262569832","0.7272727273",NA,NA,15073,NA,"7000",0.7185,"22200","15600","16800"
"101",105145,NA,NA,NA,NA,0.3585,0.1201,0.0355,0.3389,"0.65830721","0.6818181818","0.8375634518",NA,NA,NA,8019,"6364.5",0.327,"29800","30000","30400"
"102",105154,NA,NA,NA,NA,0.5002,0.0661,0.039,0.2354,"PrivacySuppressed","0.8032786885","0.8702290076",NA,NA,NA,8494,"4500",0.3423,"35200","27500","31800"
"103",105163,0.375,NA,0.25,0.2069,0.4375,0.0625,0.0275,0.3375,"0.5437992413","0.5898148148","0.7255813953",0.9358,NA,24023,NA,"13566",0.8191,"38800","29300","33900"
"104",105172,0.2857,0,0.25,0.4348,0.4427,0.0921,0.0247,0.2517,"0.5437992413","0.5898148148","0.7255813953",0.9191,NA,23899,NA,"13566",0.7229,"38800","29300","33900"
"105",105206,NA,NA,NA,NA,0.7085,0.0138,0.0163,0.1946,"0.6765375854","0.6397849462","PrivacySuppressed",NA,NA,NA,8018,"8000",0.4731,"26900","20800","24800"
"106",105215,NA,NA,NA,NA,0.6972,0.0365,0.0041,0.0835,"0.646700871","0.6944063405","0.7721018232",NA,NA,17715,NA,"15188",0.4898,"34800","30600","33000"
"107",105297,NA,NA,0,0,0.0056,0.0014,0.0028,7e-04,NA,NA,NA,NA,0.8,NA,8153,"PrivacySuppressed",0.6092,"20900","18000","18100"
"108",105330,0.5404,0.4747,0.4237,0.4536,0.6109,0.0336,0.0165,0.2034,"0.8789737869","0.8886792453","0.9019699812",0.8099,0.7364,NA,13683,"13533",0.3662,"39100","32000","35100"
"109",105349,NA,NA,NA,NA,0.4672,0.0106,0.0065,0.0905,NA,NA,NA,NA,NA,NA,8943,"PrivacySuppressed",0.2861,"23800","16700","21500"
"110",105367,NA,NA,NA,NA,0.5188,0.0957,0.0087,0.1449,"0.8495821727","PrivacySuppressed","PrivacySuppressed",NA,NA,NA,NA,"12500",0.5246,"40300","36700","38300"
"111",105428,NA,NA,NA,NA,0.2543,0.1104,0.0345,0.4619,"0.7244897959","0.6818181818","PrivacySuppressed",NA,NA,NA,7937,"6000",0.4639,"32200","25900","28100"
"112",105482,NA,NA,NA,NA,0.4943,0.046,0.0345,0.1724,"0.75","0.7158469945","0.7730496454",NA,NA,17685,NA,"7600",0.4765,"24000","20900","20000"
"113",105525,NA,NA,NA,NA,0.4163,0.0448,0.0296,0.4263,"0.6965601966","0.7495961228","0.7948350072",NA,NA,NA,2987,"4028",0.3141,"29400","23700","27500"
"114",105534,0.669,0.8148,0.4684,0.6742,0.4533,0.0657,0.0498,0.3676,"0.6708860759","0.6419257773","0.6705101328",NA,0.7391,20186,NA,"8445",0.503,"28200","25000","25900"
"115",105543,NA,NA,NA,NA,0.2186,0.0247,0.0157,0.5504,"0.6708860759","0.6419257773","0.6705101328",NA,NA,13185,NA,"8445",0.59,"28200","25000","25900"
"116",105589,0.3846,0,0,0,0.7004,0.0198,0.022,0.0176,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.6873,0.675,24851,NA,"16250",0.455,"33300","27800","29100"
"117",105659,NA,NA,NA,NA,0.4173,0.0791,0.0086,0.282,"0.633557047","0.5741626794","0.6414565826",NA,NA,20019,NA,"9500",0.6078,"39100","31600","37600"
"118",105668,NA,NA,NA,NA,0.5411,0.1248,0.023,0.2005,"0.5535714286","0.65","0.8403361345",NA,NA,NA,8396,"3500",0.1987,"35900","31500","35400"
"119",105677,NA,NA,NA,NA,0.9048,0,0,0.0238,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,18308,NA,"7307",0.4394,"24700","PrivacySuppressed","21700"
"120",105701,NA,NA,NA,NA,0.5647,0.0353,0.0353,0.3294,"0.380952381","PrivacySuppressed","PrivacySuppressed",NA,NA,5403,NA,"PrivacySuppressed",0.5378,"PrivacySuppressed","PrivacySuppressed","13500"
"121",105747,NA,NA,NA,NA,0.5857,0.0543,0.024,0.1749,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,NA,8320,"4205",0.2072,"35700","29600","32400"
"122",105792,NA,NA,NA,NA,0.115,0.2091,0.026,0.4851,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,NA,7691,"5428",0.5068,"28400","23200","26500"
"123",105899,0.614,1,0.5,0.5,0.6016,0.0855,0.0113,0.1661,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.5673,0.7222,27514,NA,"11000",0.3039,"33500","26000","28800"
"124",105987,NA,NA,NA,NA,0.2444,0.0618,0.014,0.618,"0.3436123348","0.2896678967","0.4726277372",NA,NA,19013,NA,"9498",0.7164,"22500","19500","22400"
"125",106041,NA,NA,NA,NA,0.4987,0.0316,0.0222,0.2406,"0.7188679245","0.7513556408","0.8139254386",NA,NA,19316,NA,"14243",0.4913,"43500","33700","38700"
"126",106102,0.0238,0,0,0.0909,0.4669,0.1325,0.009,0.1496,"0.7597712107","0.7525345622","0.8053293856",NA,1,2280,NA,"20498",0.3053,"50100","28800","31500"
"127",106111,NA,NA,NA,NA,0.2302,0.2222,0.0238,0.3889,"0.5761772853","0.512295082","0.630952381",NA,NA,12821,NA,"6961.5",0.8259,"20800","18900","17300"
"128",106148,NA,NA,NA,NA,0.6193,0.0129,0.0088,0.1329,"0.7046413502","0.8027210884","0.7931034483",NA,NA,NA,7108,"5250",0.3206,"28000","23000","25100"
"129",106245,0.3246,0.2727,0.1567,0.3462,0.5297,0.2703,0.0225,0.0699,"0.8077507599","0.8151571165","0.8550396376",0.5928,0.7109,NA,13619,"12500",0.3941,"33900","30100","31200"
"130",106263,NA,NA,NA,NA,0.737,0.1322,0.0281,0.0464,"0.9737248841","0.9562737643","0.9077253219",NA,NA,NA,NA,"12500",0.3944,"61400","53700","55500"
"131",106281,NA,NA,NA,NA,0.2895,0.6579,0,0.0526,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,6799,NA,"16500",0.9815,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"132",106306,0.2,NA,0.1905,NA,0.0413,0.942,0.0011,0.0067,"0.3214285714","PrivacySuppressed","0.5",NA,0.3636,14430,NA,"9500",0.8306,"22000","15300","17700"
"133",106315,NA,NA,NA,NA,0.1429,0.8571,0,0,"PrivacySuppressed","0.4186046512","PrivacySuppressed",NA,NA,9580,NA,"6333",0.9615,"PrivacySuppressed","PrivacySuppressed","12800"
"134",106324,NA,NA,NA,NA,0.9091,0.0303,0,0.0606,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,9157,NA,"5709.5",0.7692,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"135",106342,0.506,0,0.3333,NA,0.742,0.0681,0.0159,0.0623,"0.8846153846","PrivacySuppressed","PrivacySuppressed",0.6142,0.7414,13652,NA,"12000",0.4578,"38600","26600","33800"
"136",106351,NA,NA,NA,NA,0.0441,0.951,0,0.0049,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,17311,NA,"9500",0.7326,"17400","PrivacySuppressed","14400"
"137",106360,NA,NA,NA,NA,0.587,0.1739,0.087,0.1087,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,9440,NA,"6641",0.6957,"13700","13000","12800"
"138",106397,0.6365,0.6707,0.4364,0.6064,0.7798,0.05,0.0251,0.0692,"0.9416666667","0.9436374201","0.9499647639",0.6204,0.8284,NA,14143,"14250",0.2359,"43400","34300","39600"
"139",106412,0.3636,NA,0.2663,0.3333,0.0431,0.9281,0.0033,0.0146,"0.6463414634","0.7037037037","0.7280898876",0.3868,0.6223,NA,8134,"13473.5",0.7231,"27200","20200","23400"
"140",106449,NA,NA,NA,NA,0.8286,0.0514,0.0093,0.0504,"0.6958041958","0.691318328","0.7762557078",NA,NA,NA,6859,"4500",0.2849,"36300","23000","26700"
"141",106458,0.4754,0.3333,0.2775,0.3462,0.7372,0.1448,0.0074,0.0235,"0.8152434158","0.8194716243","0.8807810894",0.7239,0.7454,NA,11752,"12316",0.4522,"31700","25900","28700"
"142",106467,0.4678,0.2857,0.2533,0.2889,0.7751,0.0897,0.0119,0.0531,"0.8023415978","0.8269230769","0.858930603",0.8626,0.6739,NA,10205,"10000",0.4447,"33800","27500","30200"
"143",106485,0.3435,0,0.1304,0.6,0.5972,0.3224,0.0042,0.0364,"0.7254901961","0.7278911565","0.8140495868",NA,0.4681,NA,10141,"7500",0.6096,"31300","22900","28300"
