"","UNITID","C150_4_WHITE","C150_4_ASIAN","C150_4_BLACK","C150_4_HISP","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","COMPL_RPY_3YR_RT","COMPL_RPY_5YR_RT","COMPL_RPY_7YR_RT","ADM_RATE","RET_FT4","NPT4_PRIV","NPT4_PUB","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","MD_EARN_WNE_P6","MD_EARN_WNE_P8"
"4211",242121,NA,NA,NA,0.4455,0,0,0,1,NA,NA,NA,NA,0.4286,7782,NA,"PrivacySuppressed",0.9616,"16300","14100","17000"
"4212",242130,NA,NA,NA,NA,0,0,0,1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,7528,NA,"PrivacySuppressed",0.9908,"15800","12100","14800"
"4213",242149,NA,NA,NA,NA,0,0,0,1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,5858,NA,"PrivacySuppressed",0.9815,"15800","12100","14800"
"4214",242316,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,6326,NA,"PrivacySuppressed",1,"12000","13300","12900"
"4215",242413,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,3537,NA,"PrivacySuppressed",0.9873,"14800","11700","12700"
"4216",242422,NA,NA,NA,NA,0,0,0,1,"0.5585585586","0.4396782842","0.5108225108",NA,NA,5292,NA,"3000",0.8911,"15800","13000","14700"
"4217",242556,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,0.8674,NA,NA,1162,NA,0.7724,"20300","16200","17800"
"4218",242565,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,0.9825,NA,NA,-343,NA,0.7733,"20300","16200","17800"
"4219",242583,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,0.9582,NA,NA,47,NA,0.7954,"20300","16200","17800"
"4220",242617,NA,NA,NA,0.3638,0.0023,9e-04,2e-04,0.9952,"0.6442127216","0.6135586401","0.6657192829",0.7433,0.81,7009,NA,"5000",0.8137,"19000","15500","17100"
"4221",242626,NA,NA,NA,0.3094,0.0016,0,2e-04,0.9974,"0.6442127216","0.6135586401","0.6657192829",0.6351,0.758,5163,NA,"5000",0.8521,"19000","15500","17100"
"4222",242635,NA,NA,NA,0.3034,0.0017,2e-04,0,0.9974,"0.6442127216","0.6135586401","0.6657192829",0.5376,0.7285,6768,NA,"5000",0.8637,"19000","15500","17100"
"4223",242644,NA,NA,NA,0.3678,0,0,0,0.9991,"0.6442127216","0.6135586401","0.6657192829",0.4565,0.8269,4830,NA,"5000",0.936,"19000","15500","17100"
"4224",242653,NA,NA,NA,0.3228,0.0059,0.0071,0.0028,0.9816,"0.6442127216","0.6135586401","0.6657192829",0.2249,0.735,7626,NA,"5000",0.6647,"19000","15500","17100"
"4225",242662,NA,NA,NA,0.2888,0.0026,6e-04,2e-04,0.9945,"0.6442127216","0.6135586401","0.6657192829",0.6626,0.7557,5063,NA,"5000",0.8469,"19000","15500","17100"
"4226",242680,NA,NA,NA,0.2694,0.0014,5e-04,0,0.9971,"0.6442127216","0.6135586401","0.6657192829",0.7473,0.7337,5149,NA,"5000",0.8564,"19000","15500","17100"
"4227",242699,NA,NA,NA,0.3189,0.001,0.0019,0,0.9971,"0.6442127216","0.6135586401","0.6657192829",0.7401,0.7156,7436,NA,"5000",0.8677,"19000","15500","17100"
"4228",242705,NA,NA,NA,0.2898,0.0041,0.0026,0,0.9895,"0.6442127216","0.6135586401","0.6657192829",0.6127,0.7439,4820,NA,"5000",0.8166,"19000","15500","17100"
"4229",242723,NA,NA,NA,NA,NA,NA,NA,NA,"0.6442127216","0.6135586401","0.6657192829",NA,NA,NA,NA,"5000",NA,"19000","15500","17100"
"4230",242750,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,13636,NA,"PrivacySuppressed",0.7946,"17100","14700","15300"
"4231",242820,NA,NA,NA,NA,0,0,0,1,"0.6615384615","0.6144578313","0.5984251969",NA,NA,11617,NA,"3161",0.4953,"19100","16400","19100"
"4232",242884,NA,NA,NA,NA,0,0,0,1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,4832,NA,"PrivacySuppressed",0.9022,"16500","14900","15500"
"4233",242945,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,1,NA,4848,NA,"PrivacySuppressed",0.7584,"14500","10600","12300"
"4234",242954,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,0.8889,NA,5044,NA,"PrivacySuppressed",0.9836,"10700","10800","10700"
"4235",242972,NA,NA,NA,0.1958,0,0,0,1,"0.62","PrivacySuppressed","0.51",0.8981,0.5972,9496,NA,"5500",0.8043,"16800","15000","16100"
"4236",242981,NA,NA,NA,0.2162,0,0,0,1,"0.62","PrivacySuppressed","0.51",0.7656,0.5,7553,NA,"5500",0.8915,"16800","15000","16100"
"4237",243072,NA,NA,NA,NA,0,0,0,1,"0.3821805393","0.3360142985","0.432464455",NA,NA,4701,NA,"1864",0.8223,"15700","12600","14500"
"4238",243081,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed",NA,NA,NA,NA,NA,NA,"PrivacySuppressed",NA,NA,NA,NA
"4239",243106,0,0,NA,0.338,0.0084,0.0011,4e-04,0.9021,"0.6774193548",NA,NA,0.9047,0.7989,NA,2066,"4500",0.775,NA,NA,NA
"4240",243115,NA,NA,NA,0.3914,0,0,0,1,"0.7708333333",NA,NA,0.788,0.793,NA,5878,"4500",0.8026,NA,NA,NA
"4241",243133,NA,NA,NA,0.3518,0,0,0,1,"PrivacySuppressed",NA,NA,0.2591,0.8607,NA,4267,"4636.5",0.627,NA,NA,NA
